,sub,condition,hit,fa,dprime,duration,property,Dist,RE
70,5baf67--REDACTED,Dist_Small_RE_Small_5,0.188,0.188,0.0,5,Dist_Small_RE_Small,Small,Small
71,5baf67--REDACTED,Dist_Small_RE_Small_10,0.562,0.375,0.475,10,Dist_Small_RE_Small,Small,Small
72,5bdb50--REDACTED,Dist_Large_RE_Small_5,0.75,0.188,1.56,5,Dist_Large_RE_Small,Large,Small
73,5bdb50--REDACTED,Dist_Small_RE_Small_5,0.188,0.312,-0.395,5,Dist_Small_RE_Small,Small,Small
74,5bdb50--REDACTED,Dist_Large_RE_Small_2,0.625,0.125,1.469,2,Dist_Large_RE_Small,Large,Small
75,5bdb50--REDACTED,Dist_Large_RE_Large_10,0.75,0.438,0.831,10,Dist_Large_RE_Large,Large,Large
76,5bdb50--REDACTED,Dist_Large_RE_Large_5,0.938,0.062,3.076,5,Dist_Large_RE_Large,Large,Large
77,5bdb50--REDACTED,Dist_Small_RE_Large_10,0.375,0.25,0.356,10,Dist_Small_RE_Large,Small,Large
78,5bdb50--REDACTED,Dist_Small_RE_Small_2,0.312,0.125,0.66,2,Dist_Small_RE_Small,Small,Small
79,5bdb50--REDACTED,Dist_Small_RE_Large_2,0.125,0.188,-0.265,2,Dist_Small_RE_Large,Small,Large
80,5bdb50--REDACTED,Dist_Large_RE_Large_2,0.625,0.188,1.204,2,Dist_Large_RE_Large,Large,Large
81,5bdb50--REDACTED,Dist_Small_RE_Small_10,0.438,0.062,1.382,10,Dist_Small_RE_Small,Small,Small
82,5bdb50--REDACTED,Dist_Small_RE_Large_5,0.25,0.125,0.476,5,Dist_Small_RE_Large,Small,Large
83,5bdb50--REDACTED,Dist_Large_RE_Small_10,0.938,0.125,2.689,10,Dist_Large_RE_Small,Large,Small
84,5c5346--REDACTED,Dist_Small_RE_Small_2,0.125,0.062,0.388,2,Dist_Small_RE_Small,Small,Small
85,5c5346--REDACTED,Dist_Large_RE_Large_2,0.625,0.125,1.469,2,Dist_Large_RE_Large,Large,Large
86,5c5346--REDACTED,Dist_Large_RE_Small_5,0.562,0.188,1.041,5,Dist_Large_RE_Small,Large,Small
87,5c5346--REDACTED,Dist_Large_RE_Large_5,0.75,0.25,1.349,5,Dist_Large_RE_Large,Large,Large
88,5c5346--REDACTED,Dist_Small_RE_Small_10,0.188,0.062,0.653,10,Dist_Small_RE_Small,Small,Small
89,5c5346--REDACTED,Dist_Large_RE_Small_10,0.812,0.312,1.375,10,Dist_Large_RE_Small,Large,Small
90,5c5346--REDACTED,Dist_Small_RE_Large_2,0.25,0.125,0.476,2,Dist_Small_RE_Large,Small,Large
91,5c5346--REDACTED,Dist_Small_RE_Large_5,0.312,0.188,0.395,5,Dist_Small_RE_Large,Small,Large
92,5c5346--REDACTED,Dist_Small_RE_Small_5,0.312,0.125,0.66,5,Dist_Small_RE_Small,Small,Small
93,5c5346--REDACTED,Dist_Small_RE_Large_10,0.375,0.015625,1.835,10,Dist_Small_RE_Large,Small,Large
94,5c5346--REDACTED,Dist_Large_RE_Small_2,0.562,0.015625,2.31,2,Dist_Large_RE_Small,Large,Small
95,5c5346--REDACTED,Dist_Large_RE_Large_10,0.625,0.188,1.204,10,Dist_Large_RE_Large,Large,Large
96,5d1aaa--REDACTED,Dist_Large_RE_Small_10,0.938,0.312,2.028,10,Dist_Large_RE_Small,Large,Small
97,5d1aaa--REDACTED,Dist_Small_RE_Small_2,0.312,0.25,0.184,2,Dist_Small_RE_Small,Small,Small
98,5d1aaa--REDACTED,Dist_Small_RE_Large_2,0.312,0.25,0.184,2,Dist_Small_RE_Large,Small,Large
99,5d1aaa--REDACTED,Dist_Small_RE_Large_5,0.312,0.125,0.66,5,Dist_Small_RE_Large,Small,Large
100,5d1aaa--REDACTED,Dist_Large_RE_Large_10,0.75,0.25,1.349,10,Dist_Large_RE_Large,Large,Large
101,5d1aaa--REDACTED,Dist_Large_RE_Small_5,0.562,0.062,1.694,5,Dist_Large_RE_Small,Large,Small
102,5d1aaa--REDACTED,Dist_Small_RE_Small_10,0.5,0.125,1.15,10,Dist_Small_RE_Small,Small,Small
103,5d1aaa--REDACTED,Dist_Small_RE_Small_5,0.188,0.062,0.653,5,Dist_Small_RE_Small,Small,Small
104,5d1aaa--REDACTED,Dist_Large_RE_Large_2,0.438,0.125,0.994,2,Dist_Large_RE_Large,Large,Large
105,5d1aaa--REDACTED,Dist_Large_RE_Small_2,0.312,0.125,0.66,2,Dist_Large_RE_Small,Large,Small
